longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,median_price
-117.73,34.12,26,6459,894.0,2487,885,6.2089,261800,INLAND,242710.0
-116.52,32.9,18,4454,852.0,1754,656,4.57,189900,INLAND,215409.01
-118.41,34.19,37,1993,425.0,939,400,2.8021,224600,<1H OCEAN,220889.0
-117.57,33.88,39,679,164.0,769,179,2.3036,110600,INLAND,124028.0
-121.29,37.96,52,888,324.0,630,258,1.2411,112500,INLAND,93807.0
-121.15,38.89,20,2024,313.0,879,309,5.2903,239400,INLAND,198021.0
-118.66,34.43,9,2356,469.0,1556,386,3.775,155000,INLAND,144990.0
-121.41,38.57,16,4429,1124.0,1538,960,3.2443,190700,INLAND,126696.0
-118.24,33.97,37,1053,263.0,1354,292,2.5833,112500,<1H OCEAN,118840.0
-118.44,34.06,28,3910,959.0,1763,867,5.5,500001,<1H OCEAN,442253.62
-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,174800,INLAND,180656.0
-119.33,36.19,27,418,163.0,332,141,1.0714,63800,INLAND,59105.0
-118.2,34.21,42,1493,237.0,665,224,6.7571,443900,<1H OCEAN,406647.4
-121.92,37.32,31,1902,554.0,1485,494,2.4207,165600,<1H OCEAN,214002.0
-119.38,36.55,31,2342,439.0,1411,465,3.017,72000,INLAND,74362.0
-121.97,37.44,17,127,28.0,219,22,4.5179,112500,<1H OCEAN,283413.19
-116.87,32.72,13,3268,491.0,1431,503,5.7652,259900,<1H OCEAN,252688.01
-118.28,33.99,49,2174,481.0,1861,484,1.7159,95000,<1H OCEAN,101688.0
-121.28,38.68,14,11442,2690.0,6068,2435,2.6016,121200,INLAND,131744.0
-118.01,34.15,52,2234,472.0,986,439,3.9125,265500,INLAND,241950.0
-116.98,32.75,18,1519,369.0,802,347,2.9886,170800,<1H OCEAN,139402.0
-121.65,36.67,52,2351,459.0,1169,439,2.8924,169600,<1H OCEAN,183252.02
-118.23,34.16,31,3105,582.0,1359,547,5.1718,429100,<1H OCEAN,312111.15
-118.4,34.1,27,3979,510.0,1351,520,15.0001,500001,<1H OCEAN,500001.0
-117.94,34.04,36,1431,354.0,1367,334,3.5592,160200,<1H OCEAN,162703.0
-118.01,33.85,29,3061,612.0,2396,640,4.6326,195200,<1H OCEAN,202898.0
-122.67,38.44,29,2551,448.0,1165,456,4.3587,196400,<1H OCEAN,251055.0
-117.46,34.14,10,714,131.0,381,119,0.8926,116100,INLAND,123605.0
-121.42,38.57,38,1878,338.0,710,342,3.7731,161400,INLAND,130201.0
-118.4,34.03,36,1831,296.0,871,269,8.1484,500001,<1H OCEAN,494216.89
-122.77,38.33,32,2054,324.0,843,306,4.5875,290700,<1H OCEAN,256971.0
-117.86,33.62,23,3166,411.0,1092,345,7.9367,500001,<1H OCEAN,395238.29
-123.53,38.93,38,1706,355.0,506,211,2.5625,165600,NEAR OCEAN,116647.0
-121.43,38.54,42,3321,688.0,1346,658,2.4618,101300,INLAND,97020.0
-118.36,33.81,25,9042,2022.0,4458,1944,4.5592,378800,<1H OCEAN,364506.0
-124.23,40.81,52,1112,209.0,544,172,3.3462,50800,NEAR OCEAN,116751.01
-121.26,38.7,9,7812,1348.0,3275,1178,4.3826,146600,INLAND,159892.0
-122.48,38.51,49,1977,393.0,741,339,3.1312,247600,INLAND,144050.0
-121.61,36.69,19,9899,2617.0,11272,2528,2.0244,118500,<1H OCEAN,190457.0
-121.01,37.7,12,9148,1906.0,4656,1853,3.2447,142200,INLAND,144899.0
-121.89,37.67,19,2034,288.0,852,295,6.5285,300400,INLAND,291278.0
-120.64,35.15,7,7922,1442.0,2863,1197,4.849,275000,<1H OCEAN,267588.01
-119.78,36.37,41,831,149.0,443,146,3.1406,100000,INLAND,84139.0
-118.33,34.19,45,1505,347.0,799,319,3.138,217000,<1H OCEAN,233371.01
-117.66,35.62,11,5897,1138.0,2728,1072,4.15,85700,INLAND,110426.0
-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,371000,NEAR BAY,291717.02
-119.69,34.43,37,2801,497.0,1150,476,5.8311,387700,<1H OCEAN,383069.13
-118.43,34.21,17,3667,1209.0,2636,1054,2.425,175500,<1H OCEAN,200006.0
-121.85,37.26,16,1816,241.0,793,234,6.8194,291200,<1H OCEAN,315815.02
-122.67,38.33,4,8072,1606.0,4323,1475,3.9518,220300,<1H OCEAN,198313.0
-121.9,37.3,39,3627,666.0,1531,635,4.537,345900,<1H OCEAN,266364.01
-117.93,34.04,30,1336,239.0,905,253,4.8854,178100,<1H OCEAN,183898.0
-118.42,34.27,33,937,216.0,1216,212,3.3214,131300,<1H OCEAN,145268.0
-118.06,33.82,24,3983,675.0,1568,638,4.6458,213400,<1H OCEAN,218711.0
-118.99,35.37,36,832,198.0,814,174,1.4773,57400,INLAND,52711.0
-117.23,32.79,23,2578,665.0,989,622,3.5484,238000,NEAR OCEAN,258013.01
-119.15,36.29,18,1435,,657,254,2.4281,72500,INLAND,80055.0
-118.34,34.16,44,1717,391.0,848,353,3.6111,254500,<1H OCEAN,290191.03
-117.99,33.66,29,1330,293.0,613,236,4.6591,353100,<1H OCEAN,312734.12
-122.3,37.9,38,2263,522.0,1027,509,3.5125,224200,NEAR BAY,235116.01
-120.69,36.84,18,902,195.0,771,174,2.2083,55000,INLAND,76235.0
-116.58,33.09,36,992,224.0,334,126,3.0089,134400,INLAND,204463.0
-122.2,37.88,36,1065,160.0,398,155,7.7736,378100,NEAR BAY,411133.12
-122.25,37.77,52,1038,220.0,482,215,3.1771,210200,NEAR BAY,212778.0
-118.32,33.84,42,1486,420.0,897,377,1.6228,376100,<1H OCEAN,179777.0
-122.06,40.55,17,3057,577.0,1497,556,3.5189,101000,INLAND,112318.0
-122.43,37.73,52,1142,224.0,494,206,5.0602,298900,NEAR BAY,294845.02
-117.26,32.81,25,2076,586.0,1060,554,2.8421,227800,NEAR OCEAN,246975.0
-116.26,33.72,10,9404,1827.0,3208,1283,3.1086,105800,INLAND,144776.0
-121.8,39.33,30,1019,192.0,501,185,2.5259,81300,INLAND,77818.0
-117.91,34.02,22,6269,,5587,1251,3.8201,136200,<1H OCEAN,190657.0
-118.08,33.76,26,1967,577.0,692,538,1.6111,54300,<1H OCEAN,93089.0
-121.88,39.74,12,14631,3298.0,7517,3262,1.6785,153100,INLAND,107013.0
-121.45,38.58,44,2314,415.0,796,388,3.4914,153900,INLAND,148199.0
-119.04,35.36,40,1533,312.0,771,306,3.0435,69500,INLAND,74690.0
-122.42,37.62,43,2367,409.0,1141,400,4.8295,319000,NEAR OCEAN,295938.0
-122.3,37.88,45,453,146.0,749,137,1.475,187500,NEAR BAY,236675.23
-117.97,33.76,18,1862,399.0,1301,369,3.1771,194000,<1H OCEAN,197238.0
-118.23,33.89,16,5003,1180.0,4145,1159,2.1389,133400,<1H OCEAN,146909.0
-117.88,33.76,37,2988,677.0,2354,666,3.4345,235500,<1H OCEAN,183971.0
-118.11,33.92,32,1016,190.0,729,177,4.3,151300,<1H OCEAN,197562.0
-121.99,36.98,25,2113,422.0,1365,439,4.6484,234600,NEAR OCEAN,291352.0
-118.78,34.16,9,30405,4093.0,12873,3931,8.0137,399200,NEAR OCEAN,429197.25
-122.33,37.93,34,2326,471.0,1356,441,2.3475,90300,NEAR BAY,111570.0
-122.3,37.9,37,2125,489.0,912,462,2.9219,217200,NEAR BAY,213525.01
-121.35,38.6,27,4314,611.0,1662,575,5.0997,170100,INLAND,191107.0
-122.08,37.6,10,3046,678.0,2056,628,3.9022,191700,NEAR BAY,204972.0
-116.76,33.46,6,1251,268.0,544,216,3.0694,173400,INLAND,184009.0
-118.36,34.1,52,1096,247.0,423,230,3.0179,500001,<1H OCEAN,300322.02
-118.49,34.03,32,3851,900.0,1456,836,4.5208,442100,<1H OCEAN,451160.4
-122.27,37.85,52,1228,293.0,648,303,2.1202,155500,NEAR BAY,134311.0
-118.18,33.77,49,2297,759.0,1105,629,1.8388,175000,NEAR OCEAN,165798.0
-119.06,36.1,21,1344,249.0,868,221,2.5893,63600,INLAND,71479.0
-122.03,37.55,22,9167,1373.0,4319,1404,6.992,284800,NEAR BAY,393158.21
-118.02,34.15,44,2419,437.0,1045,432,3.875,280800,INLAND,293055.0
-119.78,36.82,22,4241,1147.0,1929,971,1.7708,53500,INLAND,68192.0
-117.94,33.86,36,2824,493.0,1394,507,4.6477,194700,<1H OCEAN,200794.0
-116.93,32.83,21,1283,278.0,684,289,2.3203,163500,<1H OCEAN,136195.01
-121.86,37.39,17,1777,328.0,1235,329,5.4225,258100,<1H OCEAN,232246.0
-117.22,32.82,35,756,135.0,423,136,3.5234,183900,NEAR OCEAN,191032.0
-118.42,34.24,17,2049,548.0,2243,541,2.525,163700,<1H OCEAN,186001.0
-121.97,38.04,38,2505,554.0,1595,498,2.5833,83500,INLAND,93971.0
-117.65,34.1,30,1461,341.0,1014,345,2.4667,106000,INLAND,128761.0
-121.05,39.23,20,1634,374.0,1053,390,1.5313,154900,INLAND,117860.0
-120.45,34.64,17,1226,277.0,484,224,3.2167,112500,NEAR OCEAN,243696.05
-117.62,33.43,23,4052,955.0,1950,859,4.0647,240600,NEAR OCEAN,299196.02
-121.79,37.67,26,2163,339.0,947,346,6.0797,211000,INLAND,242642.0
-118.2,33.79,47,2549,626.0,1388,606,3.0135,192700,NEAR OCEAN,207234.0
-119.03,35.36,41,2551,594.0,1342,595,1.9671,76800,INLAND,63402.0
-116.89,33.73,15,2094,316.0,937,277,5.3623,201300,INLAND,162078.0
-122.31,37.56,52,2351,494.0,1126,482,3.9688,356900,NEAR OCEAN,360492.11
-122.73,38.43,15,3265,690.0,1629,629,3.7132,167600,<1H OCEAN,176052.0
-117.13,33.89,4,1611,239.0,275,84,3.5781,244400,INLAND,133899.0
-118.28,34.05,44,1273,474.0,1754,460,1.6037,275000,<1H OCEAN,180951.0
-117.91,33.84,25,1021,252.0,975,258,3.125,168100,<1H OCEAN,168975.0
-121.84,36.62,26,32,8.0,27,10,2.225,150000,<1H OCEAN,200630.0
-120.64,37.38,21,3157,637.0,2268,620,2.567,70400,INLAND,95732.0
-121.82,37.32,10,2506,623.0,2634,622,3.135,231400,<1H OCEAN,164727.0
-122.1,37.61,35,2361,458.0,1727,467,4.5281,173600,NEAR BAY,200103.0
-121.29,36.9,17,3610,593.0,1734,559,5.8324,374200,INLAND,261439.0
-118.08,33.85,22,1055,204.0,682,216,6.0,191300,<1H OCEAN,270428.0
-118.38,34.06,31,4345,1158.0,1987,1070,2.8233,310000,<1H OCEAN,356721.05
-122.11,37.4,16,1994,489.0,1173,472,4.1875,266400,NEAR BAY,312646.12
-118.32,34.06,36,3239,722.0,1383,612,4.5918,337000,<1H OCEAN,432242.31
-118.56,34.21,13,8327,1849.0,4126,1773,3.7313,189800,<1H OCEAN,230683.0
-117.06,33.14,27,3819,674.0,2447,717,3.8185,137200,<1H OCEAN,178667.0
-118.4,33.87,45,2093,497.0,842,472,6.3231,500001,<1H OCEAN,456819.45
-118.34,34.07,52,3175,1057.0,1594,997,3.1766,225000,<1H OCEAN,331505.1
-118.42,34.18,40,1013,150.0,449,166,5.7143,382400,<1H OCEAN,341620.1
-117.15,32.81,34,1629,318.0,900,282,3.1458,178300,NEAR OCEAN,174055.0
-117.72,34.07,33,4100,740.0,2580,730,3.7321,134200,INLAND,137176.0
-118.18,34.05,41,616,196.0,814,180,3.3333,115100,<1H OCEAN,151550.0
-122.01,36.97,35,1605,392.0,743,382,2.5368,240000,NEAR OCEAN,281193.01
-118.32,34.07,52,2156,306.0,861,311,8.8062,500001,<1H OCEAN,466546.52
-118.0,33.76,29,1982,503.0,1426,502,3.0263,194200,<1H OCEAN,188763.0
-117.92,33.75,19,1920,471.0,1413,432,4.0313,147500,<1H OCEAN,176531.0
-121.94,37.93,16,3421,427.0,1341,428,7.5695,320400,INLAND,277876.0
-121.55,39.51,39,1551,353.0,684,310,2.0357,57600,INLAND,62919.0
-118.1,33.84,36,1915,316.0,850,319,4.7222,225800,<1H OCEAN,227175.0
-122.0,37.31,28,3811,585.0,1795,581,7.8383,372700,<1H OCEAN,437062.29
-118.25,33.86,26,3022,476.0,1852,452,6.0531,186400,<1H OCEAN,274434.0
-122.72,38.44,48,707,166.0,458,172,3.1797,140400,<1H OCEAN,188931.0
-120.99,37.66,30,1718,395.0,914,400,1.933,107000,INLAND,87156.0
-118.08,33.86,17,2259,383.0,1378,386,5.8733,287000,<1H OCEAN,290361.03
-121.49,38.52,37,1902,413.0,955,384,3.1014,96800,INLAND,98841.0
-118.83,34.18,23,5647,786.0,2050,738,6.3586,348300,<1H OCEAN,311562.03
-117.19,34.27,16,7961,1147.0,879,280,5.2146,255200,INLAND,163817.0
-118.28,33.93,43,269,74.0,295,79,2.2969,90600,<1H OCEAN,150712.03
-119.68,37.19,10,3113,589.0,1508,512,2.8167,96100,INLAND,112275.0
-117.12,32.57,35,1450,256.0,930,286,2.6715,133300,NEAR OCEAN,135390.0
-118.35,34.32,52,102,29.0,54,32,1.9875,191700,<1H OCEAN,186638.01
-117.9,33.74,24,1435,494.0,3171,504,3.0833,151700,<1H OCEAN,185370.0
-121.92,37.72,4,7477,1576.0,2937,1506,5.1437,299400,<1H OCEAN,259626.01
-121.02,37.69,19,3814,790.0,2219,804,3.5208,145000,INLAND,139266.0
-118.53,34.19,32,2618,692.0,1961,633,2.625,192300,<1H OCEAN,209918.0
-118.13,34.02,40,2988,690.0,2144,667,2.3359,189300,<1H OCEAN,169072.0
-120.4,38.06,12,1430,310.0,517,240,2.6544,128100,INLAND,106604.0
-115.91,33.36,15,459,95.0,160,73,0.922,67500,INLAND,54111.0
-118.3,34.26,37,2824,633.0,1619,573,3.5568,184500,<1H OCEAN,229377.0
-117.94,33.92,28,639,179.0,1062,169,3.0588,145200,<1H OCEAN,164880.0
-117.22,34.12,34,2457,499.0,1538,507,2.809,82500,INLAND,90736.0
-116.43,33.81,8,6710,1343.0,2069,781,3.5223,115100,INLAND,161843.09
-117.09,32.76,29,1650,496.0,882,445,2.2287,140000,NEAR OCEAN,121595.0
-122.33,37.95,45,1585,329.0,981,373,3.0313,135800,NEAR BAY,128396.0
-122.38,37.71,47,1088,190.0,558,166,4.2708,207100,NEAR BAY,256445.03
-117.88,33.7,18,2135,373.0,1464,405,5.4836,225800,<1H OCEAN,245468.0
-121.8,37.23,18,2581,358.0,1284,377,6.7385,272400,<1H OCEAN,325807.0
-118.9,35.26,31,6145,1492.0,5666,1457,1.9066,54600,INLAND,67688.0
-118.29,33.75,37,1319,292.0,766,285,2.7031,218900,NEAR OCEAN,216036.0
-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,NEAR BAY,356411.05
-120.11,39.24,21,3005,574.0,385,150,3.1193,153300,INLAND,149259.0
-120.95,37.57,29,1179,249.0,672,243,3.1125,154800,INLAND,128314.0
-121.85,37.26,16,2312,303.0,1158,295,7.4323,311800,<1H OCEAN,353945.07
-120.58,37.36,33,3564,716.0,2603,696,2.2179,67500,INLAND,88447.0
-117.98,34.02,32,2945,651.0,2044,652,3.1979,183900,<1H OCEAN,167553.0
-117.16,32.89,5,8576,1952.0,5006,1827,4.3598,189100,<1H OCEAN,213030.0
-117.92,33.87,33,1597,,1888,423,3.055,157800,<1H OCEAN,173102.0
-119.16,34.27,24,1824,331.0,1049,320,5.9181,221100,NEAR OCEAN,342469.08
-118.15,34.17,36,930,280.0,1024,300,1.0846,146400,<1H OCEAN,192020.07
-118.3,34.0,52,1296,246.0,853,238,3.05,111600,<1H OCEAN,136089.0
-117.08,32.93,5,14944,2490.0,6600,2407,6.0857,308300,<1H OCEAN,267854.02
-118.16,34.06,27,1675,274.0,785,275,5.828,301100,<1H OCEAN,299258.01
-117.13,32.9,15,2785,644.0,1798,630,3.7156,175200,<1H OCEAN,155867.0
-122.34,40.51,16,2247,502.0,1206,463,1.9946,119200,INLAND,72247.0
-117.88,33.87,35,1919,349.0,1302,345,5.6409,190900,<1H OCEAN,231804.0
-117.4,33.85,9,7538,1125.0,3450,1077,5.4625,223600,INLAND,213877.0
-121.3,38.26,19,1403,276.0,901,290,3.215,104600,INLAND,116569.0
-118.39,34.09,41,730,126.0,230,125,4.3214,500001,<1H OCEAN,357912.04
-122.21,37.77,43,1017,328.0,836,277,2.2604,100000,NEAR BAY,101764.0
-117.59,33.41,17,2248,448.0,878,423,5.1298,246000,NEAR OCEAN,340620.13
-117.58,34.11,14,11635,2055.0,6443,2009,4.7547,157600,INLAND,164978.0
-120.84,38.81,11,1280,286.0,609,248,3.1635,132600,INLAND,126841.0
-116.85,34.25,5,5806,1030.0,569,219,4.0132,163100,INLAND,143281.0
-118.42,34.18,30,1323,353.0,856,333,3.3594,202200,<1H OCEAN,222627.0
-117.71,34.09,36,2637,476.0,1385,483,4.1739,158700,INLAND,170014.0
-118.47,34.04,32,2909,748.0,1310,706,4.516,350000,<1H OCEAN,438679.48
-121.91,36.62,52,1431,300.0,657,293,3.2865,240100,<1H OCEAN,241649.03
-118.99,35.39,52,2805,573.0,1325,522,2.5083,70100,INLAND,65356.0
-121.96,36.97,23,4324,1034.0,1844,875,3.0777,263800,NEAR OCEAN,267295.0
-119.88,36.81,30,2288,474.0,1435,425,1.3221,61200,INLAND,60621.0
-119.06,34.24,21,7436,984.0,2982,988,7.6775,391200,<1H OCEAN,371693.01
-118.35,34.05,44,1856,493.0,1374,469,2.0984,158000,<1H OCEAN,194518.0
-119.59,36.52,35,990,192.0,674,178,3.3214,101600,INLAND,88869.0
-114.57,33.57,20,1454,326.0,624,262,1.925,65500,INLAND,61068.0
-119.06,34.36,52,1409,359.0,981,304,2.7951,199300,<1H OCEAN,189821.0
-118.29,33.98,44,2261,555.0,1348,455,1.9125,97200,<1H OCEAN,108379.0
-122.44,37.76,30,5089,1210.0,1935,1139,4.6053,386100,NEAR BAY,379811.14
-119.8,36.78,50,1818,374.0,737,338,2.2614,73000,INLAND,72286.0
-121.62,39.13,41,1147,243.0,583,239,2.2431,63400,INLAND,89120.0
-121.24,38.68,20,1402,236.0,676,236,3.7426,135500,INLAND,138033.0
-118.12,33.84,37,2143,382.0,1047,377,4.4423,216000,<1H OCEAN,223270.0
-116.99,32.79,26,3623,703.0,1609,669,3.744,165800,<1H OCEAN,169594.0
-122.02,36.98,21,1484,394.0,984,380,2.1734,187500,NEAR OCEAN,226891.02
-118.43,33.98,19,8324,1590.0,2927,1538,7.5426,351700,<1H OCEAN,432636.52
-120.38,37.99,36,2864,603.0,1155,565,2.3571,113400,INLAND,95698.0
-118.16,33.88,30,1694,398.0,1181,383,2.9779,169500,<1H OCEAN,166938.0
-117.81,34.01,12,9197,1642.0,4332,1554,4.9589,282100,<1H OCEAN,227224.0
-117.8,33.68,8,2032,349.0,862,340,6.9133,274100,<1H OCEAN,309385.02
-121.33,37.97,38,3166,575.0,1351,561,3.5404,91600,INLAND,109447.0
-117.98,33.68,24,4177,,1704,606,6.2473,281900,<1H OCEAN,280389.0
-122.82,38.39,22,1288,243.0,593,220,3.625,233700,<1H OCEAN,200512.0
-117.07,33.15,15,2994,522.0,1231,503,3.2024,180400,<1H OCEAN,163651.0
-122.19,37.76,38,1493,370.0,1144,351,0.7683,81800,NEAR BAY,94293.0
-120.83,39.27,14,3338,608.0,1373,562,3.67,160100,INLAND,155413.0
-121.39,38.69,38,300,47.0,154,51,4.0909,108300,INLAND,109443.0
-122.08,37.59,16,1816,365.0,1367,355,4.235,156300,NEAR BAY,202264.0
-117.13,32.96,15,2267,292.0,1180,289,6.712,240200,<1H OCEAN,288138.01
-121.47,38.57,52,438,103.0,176,99,3.0217,200000,INLAND,137827.0
-119.83,34.43,31,798,346.0,699,301,2.1417,205000,NEAR OCEAN,256844.0
-121.57,39.1,28,1442,333.0,832,286,1.8413,62300,INLAND,63680.0
-121.97,37.36,34,884,153.0,534,154,6.0116,271200,<1H OCEAN,301097.02
-117.88,33.83,25,1785,248.0,750,251,6.8407,266700,<1H OCEAN,302803.05
-118.47,34.21,34,2512,603.0,1805,584,2.9735,220000,<1H OCEAN,199747.0
-118.4,34.16,45,1176,250.0,471,228,2.3333,364700,<1H OCEAN,224257.04
-119.97,38.94,26,1485,334.0,406,180,1.9667,84600,INLAND,113128.0
-119.36,35.55,29,510,84.0,236,73,2.7,125000,INLAND,79881.0
-117.66,34.1,37,1971,345.0,939,358,3.4634,145300,INLAND,141640.0
-118.28,33.92,39,1472,302.0,1036,318,3.0,110000,<1H OCEAN,120389.0
-117.16,32.73,52,1863,559.0,906,493,1.9203,195800,NEAR OCEAN,148993.0
-118.05,34.06,45,531,164.0,722,166,2.1406,162500,<1H OCEAN,165204.01
-119.13,34.19,16,6389,1330.0,6242,1340,4.0222,206800,NEAR OCEAN,224360.0
-117.66,34.06,39,1405,339.0,1489,336,1.608,91800,INLAND,104654.0
-118.17,34.09,36,3066,797.0,3097,780,2.5523,156500,<1H OCEAN,161058.0
-118.34,34.18,45,3566,701.0,1601,653,3.8668,232000,<1H OCEAN,260429.0
-121.46,38.57,52,893,159.0,367,160,3.2386,213200,INLAND,123903.0
-117.94,33.87,46,2066,450.0,1275,448,3.9375,187000,<1H OCEAN,186899.0
-118.11,34.16,52,2489,437.0,1101,438,4.2065,320300,INLAND,282582.0
-120.02,38.91,22,2138,493.0,829,330,2.2056,107200,INLAND,111394.0
-118.1,33.99,36,1529,290.0,1271,287,3.6875,175200,<1H OCEAN,166754.0
-117.87,33.83,27,2287,,1140,351,5.6163,231000,<1H OCEAN,293935.04
-118.49,34.18,31,3073,674.0,1486,684,4.8984,311700,<1H OCEAN,267155.01
-122.63,38.25,20,3460,602.0,1707,568,3.7115,181900,<1H OCEAN,205962.0
-117.9,33.8,27,2176,442.0,1440,418,4.375,212500,<1H OCEAN,193313.0
-117.8,33.76,27,2655,345.0,1017,335,6.9014,366800,<1H OCEAN,350281.03
-122.71,38.45,39,2739,573.0,1223,569,2.9663,185400,<1H OCEAN,168710.0
-117.1,33.15,5,3159,685.0,1398,581,3.1467,161100,<1H OCEAN,180325.0
-117.43,33.91,15,14281,2511.0,7540,2245,4.3222,138000,INLAND,155642.0
-117.92,34.05,36,2241,419.0,1743,448,4.6587,161900,<1H OCEAN,181281.0
-121.51,38.49,21,4426,790.0,1856,761,4.1,158300,INLAND,158691.0
-122.19,37.8,48,1694,259.0,610,238,4.744,257300,NEAR BAY,238053.02
-119.89,36.64,34,1422,237.0,716,222,2.975,90000,INLAND,79698.0
-122.29,37.89,52,2269,380.0,1004,371,5.1696,261400,NEAR BAY,299863.01
-122.45,37.78,52,2686,606.0,1392,578,4.0,355300,NEAR BAY,432470.09
-115.4,32.7,19,583,113.0,531,134,1.6838,95800,INLAND,76168.0
-118.31,34.17,12,3188,931.0,2118,850,3.1823,218300,<1H OCEAN,242745.01
-118.31,34.02,52,1832,441.0,1186,420,1.2434,98400,<1H OCEAN,128943.0
-117.33,34.06,42,530,123.0,390,124,1.0469,67000,INLAND,89349.0
-117.07,32.73,18,2968,656.0,1149,581,2.6452,154200,NEAR OCEAN,144149.0
-122.0,36.93,51,1616,374.0,608,302,3.1932,400000,NEAR OCEAN,244912.02
-118.58,34.21,27,2209,353.0,1034,344,4.7125,250900,<1H OCEAN,232334.01
-117.32,34.19,6,1068,182.0,999,188,4.7222,109000,INLAND,137183.0
-120.84,37.5,47,2310,484.0,1126,447,2.2083,97300,INLAND,94688.0
-120.87,38.37,28,3998,765.0,1614,698,2.8125,113400,INLAND,129710.0
-118.43,34.17,33,1679,404.0,933,412,2.6979,266000,<1H OCEAN,246062.01
-122.32,37.55,46,1437,266.0,607,263,4.8068,369700,NEAR OCEAN,360885.11
-123.84,39.83,19,1461,340.0,515,227,1.5278,145800,NEAR OCEAN,90277.0
-117.22,32.81,24,730,196.0,335,203,3.5078,362500,NEAR OCEAN,216375.0
-118.02,33.95,36,1681,329.0,964,311,4.108,181200,<1H OCEAN,186940.0
-120.85,37.77,20,651,157.0,421,151,2.0833,77300,INLAND,118598.0
